[21-Aug-2013 08:25:41 UTC] PHP Warning:  array_unique() expects parameter 1 to be array, null given in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:25:41 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:25:41 UTC] PHP Fatal error:  Maximum function nesting level of '200' reached, aborting! in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2090
[21-Aug-2013 08:26:46 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2004
[21-Aug-2013 08:26:46 UTC] PHP Warning:  array_multisort(): Argument #1 is expected to be an array or a sort flag in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2010
[21-Aug-2013 08:26:46 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:26:46 UTC] PHP Warning:  array_unique() expects parameter 1 to be array, null given in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:26:46 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:26:46 UTC] PHP Fatal error:  Maximum function nesting level of '200' reached, aborting! in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2090
[21-Aug-2013 08:27:38 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2004
[21-Aug-2013 08:27:38 UTC] PHP Warning:  array_multisort(): Argument #1 is expected to be an array or a sort flag in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2010
[21-Aug-2013 08:27:38 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:27:38 UTC] PHP Warning:  array_unique() expects parameter 1 to be array, null given in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:27:38 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:27:38 UTC] PHP Fatal error:  Maximum function nesting level of '200' reached, aborting! in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2090
[21-Aug-2013 08:27:47 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2004
[21-Aug-2013 08:27:47 UTC] PHP Warning:  array_multisort(): Argument #1 is expected to be an array or a sort flag in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2010
[21-Aug-2013 08:27:47 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:27:47 UTC] PHP Warning:  array_unique() expects parameter 1 to be array, null given in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:27:47 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:27:47 UTC] PHP Fatal error:  Maximum function nesting level of '200' reached, aborting! in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2090
[21-Aug-2013 08:28:22 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2004
[21-Aug-2013 08:28:22 UTC] PHP Warning:  array_multisort(): Argument #1 is expected to be an array or a sort flag in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2010
[21-Aug-2013 08:28:22 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:28:22 UTC] PHP Warning:  array_unique() expects parameter 1 to be array, null given in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:28:22 UTC] PHP Warning:  array_map(): Argument #2 should be an array in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2011
[21-Aug-2013 08:28:22 UTC] PHP Fatal error:  Maximum function nesting level of '200' reached, aborting! in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\helpers\Functions.php on line 2090
[21-Aug-2013 08:30:43 UTC] PHP Fatal error:  Cannot break/continue 1 level in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 64
[21-Aug-2013 08:36:28 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\functions.php on line 389
[21-Aug-2013 08:41:07 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\functions.php on line 390
